Zona;Sexo;Edad;Relacion;Estado Civil;Lugar 5 años;Pueblo;Seguro Salud;Embarazo;Leer y Escribir;Sum y Mul;Nivel edu;Matricula;Prox Nivel ed;Ocupacion
1;2;18;3;1;1;2;6;3;1;1;42;2;0;0
1;2;17;3;1;1;2;6;3;1;1;42;1;42;0
1;2;14;3;1;1;2;6;3;1;1;42;1;42;0
1;2;3;3;1;4;2;3;0;0;0;0;0;0;0
1;1;86;1;2;1;1;2;0;1;1;23;2;0;0
1;2;78;2;2;1;1;2;0;2;1;11;2;0;0
1;2;53;3;1;1;2;2;0;1;1;23;2;0;1
1;1;39;1;3;1;2;6;0;1;1;32;2;0;3
1;2;31;2;3;1;2;1;2;1;1;32;2;0;8
1;2;0;3;1;4;2;1;0;0;0;0;0;0;0
1;1;26;1;3;1;2;6;0;1;1;32;2;0;3
1;2;24;2;3;1;2;6;2;1;1;42;2;0;0
1;2;6;3;1;1;2;6;0;1;1;13;1;41;0
1;1;34;1;3;1;2;6;0;1;1;22;2;0;3
1;2;29;2;3;1;2;6;2;1;1;23;2;0;0
1;2;13;3;1;1;2;6;3;1;1;42;1;42;0
1;1;3;3;1;4;2;1;0;0;0;0;0;0;0
1;1;31;1;2;1;2;6;0;1;1;32;2;0;3
1;2;31;2;2;1;2;6;2;1;1;32;2;0;0
1;1;12;3;1;1;2;6;0;1;1;41;1;42;0
1;2;8;3;1;1;2;6;0;1;1;41;1;41;0
1;2;0;3;1;4;3;1;0;0;0;0;0;0;0
1;2;32;1;1;1;2;6;3;1;1;32;1;72;1
1;1;24;6;1;1;2;1;0;1;1;72;2;0;3
1;2;19;6;1;1;2;2;3;1;1;42;1;72;1
1;1;24;1;2;1;2;1;0;1;1;77;2;0;1
1;2;24;2;2;1;2;1;2;1;1;77;2;0;0
1;2;2;3;1;4;2;1;0;0;0;0;0;0;0
1;2;0;3;1;4;2;1;0;0;0;0;0;0;0
1;1;75;1;2;1;1;2;0;1;1;21;2;0;0
1;2;75;2;2;1;1;2;0;1;1;21;2;0;0
1;1;40;1;2;1;1;1;0;1;1;32;2;0;1
1;2;29;2;2;1;1;1;2;1;1;32;2;0;0
1;2;1;3;1;4;2;1;0;0;0;0;0;0;0
1;2;53;1;5;1;1;2;0;1;1;71;2;0;1
1;1;32;3;1;1;1;2;0;1;1;72;1;73;1
1;2;23;3;1;1;1;2;3;1;1;42;2;0;0
1;2;18;3;1;1;1;2;3;1;1;42;2;0;0
1;1;61;1;2;1;1;2;0;1;1;22;2;0;0
1;2;58;2;2;1;1;2;0;1;2;21;2;0;0
1;1;30;1;3;1;1;6;0;1;1;72;2;0;6
1;2;25;2;3;1;1;6;2;1;1;72;2;0;3
1;2;7;3;1;1;1;6;0;1;1;41;1;41;0
1;2;53;1;1;1;1;1;0;1;1;21;2;0;0
1;1;22;3;1;1;2;6;0;1;1;42;2;0;1
1;2;25;3;1;1;2;2;2;1;1;32;2;0;1
1;1;5;9;1;1;2;2;0;2;1;11;1;13;0
1;2;2;9;1;4;2;2;0;0;0;0;0;0;0
1;2;94;7;6;1;1;6;0;2;2;11;2;0;0
1;2;16;1;1;1;1;6;3;1;1;42;1;42;0
1;1;37;1;1;1;2;1;0;1;1;32;2;0;1
1;1;37;1;2;1;2;6;0;1;1;32;2;0;3
1;2;33;2;2;1;2;6;2;1;1;72;2;0;6
1;2;8;3;1;1;2;6;0;1;1;41;1;41;0
1;1;67;1;2;1;1;1;0;1;1;23;2;0;1
1;2;65;2;2;1;1;1;0;1;1;31;2;0;3
1;1;52;1;4;1;1;2;0;1;1;22;2;0;1
1;1;22;3;1;1;1;6;0;1;1;42;2;0;1
1;1;51;1;2;1;1;1;0;1;1;32;2;0;3
1;2;49;2;2;1;1;1;2;1;1;31;2;0;3
1;2;12;3;1;1;1;1;0;1;1;41;1;41;0
1;1;80;1;2;1;1;2;0;1;1;23;2;0;0
1;1;47;1;2;1;2;1;0;1;1;23;2;0;1
1;2;45;2;2;1;2;1;2;1;1;23;2;0;0
1;2;21;3;1;1;2;1;3;1;1;72;1;72;0
1;2;19;3;1;1;2;1;3;1;1;72;1;72;0
1;1;30;1;3;1;2;1;0;1;1;32;2;0;3
1;2;22;2;3;1;2;1;2;1;1;42;2;0;0
1;1;7;3;1;1;2;6;0;1;1;41;1;41;0
1;2;41;1;6;1;1;6;2;1;1;21;2;0;3
1;1;22;3;1;1;2;6;0;1;1;72;1;72;0
1;1;21;3;1;1;2;6;0;1;1;42;2;0;0
1;1;17;3;1;1;2;6;0;1;1;42;2;0;1
1;2;71;1;6;1;1;1;0;1;1;21;2;0;3
1;1;58;1;2;1;2;1;0;1;1;23;2;0;3
1;2;54;2;2;1;2;1;0;1;1;22;2;0;3
1;1;51;1;2;1;2;6;0;1;1;32;2;0;3
1;2;42;2;2;1;1;6;3;1;1;32;2;0;3
1;1;44;1;2;1;1;4;0;1;1;72;2;0;3
1;2;39;2;2;1;1;4;2;1;1;72;2;0;1
1;1;11;3;1;1;2;4;0;1;1;41;1;41;0
1;2;6;3;1;1;2;4;0;1;2;13;1;41;0
1;1;51;1;2;1;1;6;0;1;1;23;2;0;1
1;2;47;2;2;1;1;6;2;1;1;23;2;0;3
1;1;23;3;1;1;1;6;0;1;1;42;2;0;3
1;1;51;1;2;1;1;6;0;1;1;23;2;0;4
1;2;49;2;2;1;1;6;2;1;1;21;2;0;3
1;1;10;3;1;1;2;6;0;1;1;41;1;41;0
1;2;9;3;1;1;2;6;0;1;1;41;1;41;0
1;1;82;1;1;1;1;6;0;1;1;21;2;0;3
1;1;27;10;1;1;2;6;0;1;1;32;2;0;1
1;2;46;1;2;1;1;6;2;1;1;23;2;0;3
1;2;21;3;1;1;2;6;2;1;1;72;1;72;1
1;2;28;1;1;1;1;6;3;1;1;32;2;0;8
1;2;29;6;1;1;1;6;3;1;1;32;2;0;8
1;1;48;1;2;1;2;6;0;1;1;22;2;0;1
1;2;40;2;2;1;1;6;2;1;1;21;2;0;3
1;2;21;3;1;1;2;6;3;1;1;42;2;0;1
1;2;13;3;1;1;2;6;3;1;1;42;1;42;0
1;2;11;3;1;1;2;6;0;1;1;41;1;41;0
1;2;8;3;1;1;2;6;0;1;1;41;1;41;0
1;2;5;3;1;1;2;6;0;2;2;11;2;0;0
1;2;18;3;3;1;2;6;2;1;1;42;2;0;6
1;1;18;5;3;1;2;6;0;1;1;42;2;0;1
1;2;0;9;1;4;2;6;0;0;0;0;0;0;0
1;1;36;1;2;1;2;2;0;1;1;32;2;0;1
1;2;34;2;2;1;2;2;2;1;1;32;2;0;0
1;1;16;3;1;1;2;2;0;1;1;42;1;42;0
1;2;8;3;1;1;2;2;0;1;1;41;1;41;0
